City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
335,Sume,BR,-7.6717,-36.88,83.48,31,0,14.29,clear sky
336,Naze,JP,28.3667,129.4833,77.92,78,71,11.61,broken clouds
337,Saint Anthony,US,45.0205,-93.218,70.09,93,0,3.44,mist
338,Pandan,PH,14.0453,124.1694,81.91,80,96,4.47,overcast clouds
339,El Tigre,VE,8.8875,-64.2454,82.85,68,68,3.02,broken clouds
340,Viedma,AR,-40.8135,-62.9967,57.69,61,100,17.4,overcast clouds
341,Mayo,US,38.8876,-76.5119,73.51,89,100,6.91,overcast clouds
342,Cortland,US,42.6001,-76.083,64.71,92,100,3.4,light rain
343,Quang Ngai,VN,15.1167,108.8,75.72,93,100,4.59,overcast clouds
344,Paita,PE,-5.0892,-81.1144,65.3,76,90,11.18,overcast clouds
345,Toyota,JP,35.0833,137.15,79.99,93,100,3.56,overcast clouds
